id,imdb_votes,number_in_season,number_in_series,original_air_date,original_air_year,season,title
529,460.0,21,529,2013-05-19,2013,24,The Saga of Carl
546,430.0,16,546,2014-03-30,2014,25,You Don't Have to Live Like a Referee
567,372.0,15,567,2015-03-01,2015,26,The Princess Guide
592,228.0,18,592,2016-04-10,2016,27,How Lisa Got Her Marge Back
596,210.0,22,596,2016-05-22,2016,27,Orange Is the New Yellow
597,104.0,1,597,2016-09-25,2016,28,Monty Burns' Fleeing Circus
262,833.0,14,262,2001-02-25,2001,12,New Kids on the Blecch
277,649.0,8,277,2002-01-20,2002,13,Sweets and Sour Marge
290,642.0,21,290,2002-05-19,2002,13,The Frying Game
303,628.0,12,303,2003-02-16,2003,14,I'm Spelling As Fast As I Can
304,599.0,13,304,2003-03-02,2003,14,A Star Is Born-Again
317,705.0,4,317,2003-11-23,2003,15,The Regina Monologues
356,635.0,21,356,2005-05-15,2005,16,"The Father, the Son, and the Holy Guest Star"
361,578.0,5,361,2005-11-13,2005,17,Marge's Son Poisoning
373,677.0,17,373,2006-04-09,2006,17,"Kiss Kiss, Bang Bangalore"
380,671.0,2,380,2006-09-17,2006,18,Jazzy and the Pussycats
401,706.0,1,401,2007-09-23,2007,19,He Loves to Fly and He D'ohs
404,620.0,4,404,2007-10-14,2007,19,I Don't Wanna Know Why the Caged Bird Sings
409,949.0,9,409,2007-12-16,2007,19,Eternal Moonshine of the Simpson Mind
429,706.0,9,429,2009-01-25,2009,20,Lisa the Drama Queen
431,603.0,11,431,2009-03-01,2009,20,How the Test Was Won
434,619.0,14,434,2009-03-22,2009,20,In the Name of the Grandfather
435,571.0,15,435,2009-03-29,2009,20,Wedding for Disaster
486,492.0,22,486,2011-05-22,2011,22,The Ned-Liest Catch
500,580.0,14,500,2012-02-19,2012,23,At Long Last Leave
502,541.0,16,502,2012-03-11,2012,23,How I Wet Your Mother
511,460.0,3,511,2012-11-04,2012,24,Adventures in Baby-Getting
542,473.0,12,542,2014-03-09,2014,25,Diggs
548,504.0,18,548,2014-04-13,2014,25,Days of Future Future
